0,1,2,3,4,5,6,7,8
92833,92397,91872,91148,91052,90951,90654,90043,88980
139765,139095,138315,137554,137520,137404,137147,136779,135505
136188,135659,134864,133988,133982,133992,133915,133769,132874
195509,194239,193344,192261,192146,192125,191690,191248,190076
106077,105668,105254,104737,104533,104407,104294,104010,103302
128024,127587,127289,126964,126920,126875,126732,126362,123829
208062,206681,205725,205344,205381,205336,204849,204138,201745
147392,145697,144474,143879,143806,143677,143501,143011,141560
137951,137024,136642,136290,136252,136202,136062,135889,135377
258797,257199,254349,251767,251723,251758,251415,251014,250157
339810,338234,336091,334271,334146,334087,333756,333285,332566
158672,157609,156169,155213,155148,155217,155294,155336,155156
171584,170997,170167,168964,168760,168684,168414,168230,167943
208368,207812,207587,207301,207322,207375,207259,206433,204300
256117,254622,252941,251868,251809,251665,251077,250269,247875
351935,349828,347794,345465,344785,344340,343377,342376,339794
39780,39725,39648,39574,39544,39489,39416,39325,39119
325187,324114,323372,322904,322956,322919,322441,321906,319984
192576,192288,192021,191496,191371,191380,191185,190604,189490
179237,178505,177700,176942,176735,176736,176509,176260,174916
255206,253765,252100,250177,249389,248795,247969,247713,246408
192510,191635,191072,190593,190609,190543,190393,189999,188971
460105,456743,454017,451496,451564,451807,451514,450727,447698
214630,214055,213271,212428,212171,212051,211739,211084,209963
284258,282892,281605,280449,280350,280150,279623,279060,277253
261423,260681,260036,259387,259365,259405,259201,258546,257620
135952,135616,135148,134857,134864,134917,134889,134814,134475
221770,221207,220574,220057,219820,219645,219186,218285,216270
201809,201332,200849,200260,199763,199250,198190,197235,195863
212347,211714,210949,210080,209455,208771,207479,206002,202995
182816,182553,182254,181811,181555,180926,178545,175758,173063
173872,173408,173076,172526,172122,171413,168180,164786,161507
278206,277652,276812,275198,273039,270750,266660,263536,260030
122323,122129,121928,121747,121672,121377,120633,119451,118084
158227,158016,157758,157530,157476,157350,156675,155850,155109
161411,161036,160713,160392,160191,159831,158889,157879,156124
148995,148549,148030,147230,146751,146393,145365,143820,141307
150994,150669,150337,149987,149871,149754,149182,147862,146363
170819,170566,170283,169981,169814,169506,168736,167578,166236
269045,268572,268087,267315,266908,266227,263689,260422,257044
290037,289206,288762,288320,288303,288227,287417,285743,282137
213870,213101,212530,211746,211668,211425,210474,209022,207166
251999,251323,250663,250000,249941,249898,249357,247886,245153
141686,141595,141459,141287,141251,141261,141136,140555,137630
525026,523156,520911,518378,518124,517981,517318,515721,512074
382486,381240,380199,379145,378975,378777,378095,376814,374159
341283,340082,338900,337743,337772,337718,336965,335661,332691
322450,321629,320603,319694,319519,319511,319267,318789,316718
569143,568676,568195,567542,567434,567483,567051,565626,562302
2224,2224,2224,2224,2224,2224,2224,2224,2224
499366,498679,498069,497126,496819,496565,495944,494717,491921
172951,172682,172376,171968,171837,171561,170498,168746,166199
288232,287870,287388,286935,286786,286232,284470,282344,279772
320987,320118,319076,317774,317407,317046,316470,315779,314339
393684,392331,391211,390272,390285,390349,389791,388244,383124
377920,377254,376828,376369,376329,376291,375982,375168,373074
284382,281967,280192,279138,278974,279044,278976,278809,277626
188805,187245,185878,185134,185116,184894,184774,184407,183441
544880,541083,538508,536954,536865,536667,536233,535614,532999
234178,231570,229246,228227,228311,228513,228367,228269,227374
219473,217551,215939,214880,214760,214700,214543,214322,213319
255374,252904,251300,250498,250714,250850,250669,250415,249063
290964,289014,287763,286965,286959,286988,286895,286161,284498
224193,222263,221060,220349,220437,220587,220581,220300,219206
235124,233726,232639,232095,232202,232334,232047,231395,229921
324705,321130,318969,318059,317979,317908,317881,317561,315624
147965,147179,146851,146668,146779,146878,146838,146533,143555
489447,487486,486613,485711,486116,486370,486034,484968,479806
178322,177330,176793,176403,176448,176441,176330,175988,173976
272986,271819,271170,270624,270774,270938,270865,270162,265900
321345,320272,319654,319204,319344,319444,319134,317890,313113
244159,242239,240897,240115,240084,240137,239915,239520,238918
309357,306429,304917,304073,303909,303574,303099,302573,301406
262805,260667,259379,258611,258474,258221,257654,257384,256545
577318,574040,571841,570502,570250,570238,569835,569176,567349
298539,297611,296245,294659,294653,294884,294680,294597,293743
206590,205732,204804,203731,203506,203501,203406,203121,202438
149914,149476,148742,147887,147614,147347,146869,146564,145581
275288,274038,272777,271478,271395,271251,271010,270358,268267
1134524,1129742,1124847,1118918,1116890,1115799,1112984,1108435,1095724
369832,368829,367748,366476,365944,365693,364859,363682,360661
320367,318733,316511,314068,313371,313288,312716,311648,308342
326652,324935,322886,320655,320063,319877,319126,317682,312956
215124,214411,213638,212775,212564,212416,212040,211350,209660
283858,282341,280969,279509,278995,278789,278251,277197,273688
262184,261059,259885,258563,257886,257355,256496,254964,250854
534250,530011,525994,523076,522885,522874,522655,522432,520975
209754,208443,207249,206093,205905,205800,205743,205548,204845
436441,433376,429934,427121,426910,426927,426788,426541,425107
783650,779119,775033,771714,771908,772039,771738,770712,767572
345520,343094,340804,339077,338865,338821,338707,338337,337288
200560,199422,198269,197411,197392,197546,197469,196819,195622
9605,9581,9551,9523,9501,9482,9446,9417,9318
212304,211740,211153,210345,209686,208758,205705,202170,197114
394744,393870,393181,392221,391633,390835,387970,382752,377045
247769,247199,246451,245434,244897,244095,240981,236897,232789
328885,328286,327517,326470,325933,325388,323189,319471,313934
331610,331037,330582,329817,329339,328415,325215,320434,315724
269225,268776,268484,268041,267847,267551,266060,263798,261141
385947,385207,384649,383746,383171,382324,378996,373935,367462
340482,339297,338389,337314,336779,336307,334255,330745,325094
332721,331939,331367,330295,329747,328551,324538,319298,313420
287328,286809,286409,285538,285088,284365,281851,278305,273509
279977,279264,278897,278215,277865,277158,274463,270954,267241
184406,183758,183470,183008,182873,182712,181544,179768,177730
267827,267195,266762,266279,265930,265194,262715,259070,254979
250400,249860,249370,248683,248374,247647,245597,242517,239181
258770,257983,257001,255517,254728,253325,248893,244794,240736
305841,304903,304195,303250,302851,302218,300062,296285,291547
270585,269795,269244,268523,268076,267659,265794,262369,257584
241744,241218,240838,240340,240153,239788,237936,235526,232704
155600,155248,155075,154789,154634,154443,153637,152362,150872
176919,176401,176141,175708,175393,174864,173518,171885,169992
325097,324306,323772,323156,322868,322360,319567,315877,311235
305165,304683,304350,303816,303503,302951,300469,296763,291828
206083,205601,205291,204763,204376,203846,202065,199345,196544
352023,351112,350281,349203,348269,347040,343129,337568,330082
304136,303226,302285,301038,299894,298720,294513,289204,283139
197325,196900,196661,196375,196251,196076,194842,192879,191475
318098,317423,317068,316597,316289,315689,313167,309465,304502
205898,205522,205150,204642,204394,203906,202190,199510,196360
323630,322691,321798,320641,320002,319022,315509,310550,304908
276218,275540,274933,274068,273379,272101,268829,265040,260533
