0,1,2,3,4,5,6,7,8
447,460,558,748,371,322,430,692,1132
644,691,831,881,413,390,455,564,1306
539,546,800,921,398,281,285,335,936
1023,1234,1101,1275,640,473,690,750,1376
393,422,460,564,378,315,291,402,762
626,563,443,461,262,240,297,470,2209
989,1359,1150,798,416,386,672,921,2326
1265,1636,1459,1073,621,567,562,801,1612
843,931,627,570,320,294,334,372,658
556,1367,2466,2671,1133,738,833,899,1289
794,1391,2003,2018,957,689,761,889,1130
557,914,1366,1149,576,338,255,245,414
390,551,796,1163,584,413,479,432,532
1251,789,533,497,269,209,300,869,1920
663,1327,1606,1391,675,589,849,1082,2427
1249,1931,2112,2555,1505,1252,1479,1625,2893
82,72,94,100,61,83,106,129,235
3267,2094,1528,1216,765,742,1020,1129,2292
140,249,273,503,261,147,260,559,1046
394,630,797,842,501,300,407,428,1344
710,1258,1600,2001,1333,1168,1256,905,1674
397,775,648,636,283,275,312,511,1049
1952,2983,2978,3057,1329,833,1001,1397,3250
229,497,717,872,519,383,475,753,1200
482,1147,1267,1336,634,584,764,858,1884
404,651,681,747,336,216,344,702,989
178,302,439,362,161,87,118,148,377
258,481,611,598,426,361,561,926,1909
250,427,482,626,592,656,1088,1109,1564
380,592,745,923,799,911,1369,1641,2938
182,245,301,442,341,648,2029,2576,2998
280,422,382,573,497,780,2754,3188,3725
190,480,740,1467,2001,2453,3972,3653,4322
130,182,210,219,141,308,667,1090,1396
129,194,252,260,148,190,609,774,871
211,334,345,373,301,430,883,1052,1747
303,420,517,790,625,582,1066,1530,2496
236,310,349,397,244,241,569,1180,1528
175,235,287,329,253,366,725,1109,1418
216,423,477,763,554,806,2231,3032,3674
464,761,558,593,283,280,809,1531,3303
597,732,678,865,414,484,974,1479,1988
277,592,650,745,351,277,600,1358,2523
54,86,128,173,87,56,143,494,2411
2728,2212,2613,2854,1485,1148,1366,2139,3872
905,1202,1166,1267,675,612,910,1445,2654
947,1191,1279,1365,594,498,945,1442,2936
385,726,966,1014,547,348,456,636,1975
