0,1,2,3,4,5,6,7,8
447,460,558,747,368,321,425,693,1124
643,691,831,880,411,391,451,564,1309
540,545,800,921,398,278,279,334,935
1024,1234,1101,1274,640,473,698,750,1380
392,422,461,563,378,313,277,401,757
623,563,441,460,263,232,283,470,2209
989,1359,1150,798,416,386,682,921,2332
1265,1636,1459,1073,621,567,561,801,1612
843,931,627,571,318,293,331,371,654
555,1365,2466,2671,1131,738,833,899,1291
792,1391,2003,2018,958,688,761,890,1130
557,914,1367,1149,576,337,251,244,404
389,551,796,1163,584,413,478,434,529
1251,789,533,497,270,207,302,869,1919
663,1328,1605,1391,675,590,849,1082,2427
1248,1931,2112,2555,1505,1252,1479,1626,2896
67,57,79,82,52,70,80,111,209
3267,2094,1528,1216,765,743,1020,1129,2292
140,249,274,504,255,144,260,559,1044
394,631,798,842,501,298,407,428,1343
710,1257,1599,2001,1333,1167,1256,905,1674
396,775,648,636,279,274,304,510,1047
1954,2982,2978,3056,1323,834,1001,1396,3248
223,497,717,872,519,382,475,753,1200
482,1147,1267,1337,635,583,763,857,1881
405,651,682,747,333,213,343,702,989
178,302,440,362,159,77,113,143,372
260,480,612,598,426,362,559,926,1909
250,428,482,629,592,656,1089,1109,1564
379,592,745,923,799,911,1369,1641,2938
182,245,301,443,340,648,2029,2576,2998
282,422,378,573,497,780,2755,3188,3725
187,480,740,1467,2000,2453,3972,3653,4322
119,179,202,211,137,308,667,1089,1397
127,193,251,259,144,189,609,774,870
214,339,344,374,301,431,883,1050,1752
302,419,517,791,625,581,1066,1530,2495
236,312,349,397,241,235,568,1180,1528
176,234,288,331,252,367,725,1107,1416
216,423,477,763,554,806,2233,3034,3674
464,760,558,593,276,280,808,1530,3304
597,732,680,864,411,486,974,1479,1988
274,592,650,745,347,274,600,1358,2523
41,80,124,169,82,41,137,492,2411
2728,2212,2613,2852,1485,1149,1365,2140,3872
904,1202,1165,1267,675,612,912,1445,2654
947,1191,1279,1365,592,498,947,1444,2940
385,726,966,1013,548,349,455,635,1976
220,429,467,682,329,175,495,1238,2957
0,0,0,0,0,0,0,0,0
392,609,646,961,567,520,746,1281,2615
165,260,305,421,250,361,956,1585,2467
230,339,462,502,307,609,1543,2043,2686
703,895,1069,1384,810,763,856,1007,1637
860,1288,1226,1213,541,379,773,1554,4599
361,579,500,554,261,223,395,809,1898
1789,2318,2081,1675,966,654,638,703,1505
1149,1535,1506,1181,611,640,529,720,1213
3657,4173,3364,2755,1550,1401,1441,1637,3220
1567,2444,2461,1764,855,548,674,660,1288
1595,1928,1841,1562,861,680,661,717,1333
1806,2430,1983,1494,648,513,647,743,1622
1222,1886,1512,1278,646,499,505,995,1806
1196,1843,1463,1188,542,360,382,592,1262
1095,1431,1268,968,433,298,531,856,1594
2209,3305,2660,1865,1075,891,768,970,2251
1372,1078,698,527,259,206,277,489,2629
4097,2900,1934,1750,763,660,979,1606,4982
1128,1121,817,695,346,316,358,551,1901
1698,1446,1067,945,415,294,402,894,3791
1277,1244,938,796,341,271,524,1281,4216
1572,1880,1646,1289,694,501,622,774,995
1552,2547,1931,1495,886,904,956,1058,1581
1447,2023,1618,1294,765,752,945,797,1243
3701,3691,3017,2412,1509,1158,1317,1528,2516
1619,1411,1560,1875,864,509,683,611,1218
598,873,960,1182,645,418,395,527,873
485,510,720,902,558,529,650,579,1108
1250,1336,1417,1538,748,656,643,982,2143
3905,4734,5274,6453,4083,3224,4172,5686,12602
909,1021,1161,1399,951,732,1096,1412,3014
667,1423,2048,2515,1467,904,1078,1461,3342
965,1578,2002,2385,1375,962,1226,1791,4528
632,749,829,969,556,464,586,850,1721
862,1400,1452,1657,1050,777,926,1341,3380
652,1037,1188,1429,1047,952,1161,1729,3916
3035,4052,4318,3861,1961,1441,1348,1349,2293
937,1259,1297,1369,739,573,459,547,948
1867,2825,3436,3348,1642,1128,1019,1083,2003
4535,4976,4795,4529,2085,1620,1640,2240,3941
1562,2275,2417,2230,1177,855,761,946,1485
700,1110,1189,1117,522,280,354,787,1309
55,28,28,30,26,23,36,34,96
324,519,592,831,774,1063,2737,3373,5123
606,832,784,1048,825,1045,2636,4640,5895
281,509,701,1011,744,985,2770,3770,4523
467,588,761,1068,780,824,2066,3375,5376
410,544,516,790,628,1025,2814,4282,5077
437,465,385,506,344,434,1347,2051,2757
407,677,620,942,748,1028,2963,4529,6484
743,1102,1023,1234,877,857,2026,3268,5478
628,755,684,1093,792,1336,3541,4876,6216
328,487,451,842,609,866,2253,3245,4806
626,715,527,762,552,856,2407,3271,4046
421,602,412,544,312,335,1084,1633,2164
445,603,521,588,496,827,2206,3310,4272
399,526,537,734,501,833,1878,2856,3547
434,713,943,1451,1073,1601,3972,4178,4832
589,861,800,1037,692,881,2043,3450,4800
520,738,648,817,645,664,1759,3065,4683
391,508,451,568,360,501,1640,2229,2975
279,349,246,334,244,290,758,1172,1564
331,482,347,487,414,619,1268,1616,2065
520,740,636,740,511,691,2457,3368,4762
353,469,402,578,445,660,2162,3286,4884
258,435,362,554,477,640,1618,2464,3005
634,856,895,1164,1113,1459,3583,5126,7534
575,852,967,1308,1306,1484,3845,5010,6514
371,431,328,369,249,292,1101,1747,1699
401,620,462,567,450,706,2212,3312,4924
245,354,386,532,374,577,1534,2407,3224
611,878,943,1244,932,1240,3210,4583,5974
402,627,646,907,827,1364,2973,3682,4832
509,722,619,800,463,700,2399,3310,3924
389,590,561,571,359,385,1249,1852,2361
616,905,1092,1218,881,1237,2606,4094,5434
547,740,914,1194,615,696,1592,2541,4970
1017,1405,1361,1496,658,600,985,1888,4837
2120,3699,3849,3643,1739,1584,2099,2638,4742
835,975,1125,1380,937,872,1418,1529,2513
320,522,487,1070,757,1160,3279,4319,6577
1792,2259,2266,3365,2968,4837,13476,18499,24119
520,887,1165,1529,993,981,1514,2025,3417
1225,2212,2516,3009,1566,1622,3457,6655,11632
1365,2038,2203,2827,1989,2730,6340,11210,14674
1095,2239,3599,6678,6308,8557,15350,14837,18581
6949,7400,5750,5219,3364,3043,3898,4596,9415
1950,2994,3186,3809,1807,1622,1857,2484,3975
1184,2123,2720,3825,2744,2729,2879,2742,3400
757,1223,1354,1822,1189,1351,2394,3887,6872
1071,1480,2047,2399,1456,1503,2319,3568,7412
1161,1663,2337,2433,1030,938,1133,1828,3987
3205,4106,3680,3364,1944,1806,2614,2997,5255
767,1228,1395,1378,771,928,2166,3505,6096
344,565,792,1147,685,736,1244,2015,2950
2065,3987,4754,5282,2897,2413,2932,3508,6468
507,820,816,970,740,924,1963,2935,5775
1421,2087,2388,2835,1915,2564,5739,9502,13100
1089,1733,1824,2246,1248,1081,1737,2093,3706
516,1152,1225,1568,780,923,2284,4544,8984
845,1348,1825,1975,1047,789,1326,1929,4702
