0,1,2,3,4,5,6,7,8
92834,92394,91871,91147,91053,90952,90648,90040,88961
139766,139094,138316,137554,137520,137407,137142,136774,135512
136188,135658,134866,133986,133982,133992,133910,133765,132867
195511,194239,193345,192261,192145,192130,191696,191253,190091
106078,105667,105255,104736,104531,104406,104276,103997,103272
128021,127586,127286,126964,126919,126869,126714,126348,123822
208061,206683,205722,205342,205379,205336,204856,204146,201773
147393,145695,144473,143880,143806,143680,143500,143011,141562
137951,137023,136641,136290,136252,136202,136057,135883,135360
258799,257196,254344,251760,251723,251761,251414,251014,250159
339811,338231,336090,334269,334144,334088,333756,333286,332565
158674,157603,156171,155209,155148,155216,155289,155335,155154
171585,170996,170167,168964,168760,168689,168416,168232,167939
208372,207810,207590,207302,207322,207377,207259,206434,204294
256117,254624,252937,251869,251811,251673,251081,250275,247882
351940,349826,347791,345467,344777,344343,343368,342376,339790
39771,39694,39613,39530,39504,39443,39353,39249,39003
325182,324112,323369,322901,322950,322916,322431,321898,319983
192575,192287,192020,191497,191372,191379,191188,190605,189489
179238,178503,177699,176941,176732,176733,176508,176259,174922
255208,253765,252100,250182,249386,248801,247966,247712,246415
192510,191635,191071,190595,190612,190542,190383,189991,188955
460105,456738,454009,451495,451561,451809,451513,450729,447709
214624,214050,213264,212423,212163,212049,211734,211082,209955
284258,282891,281603,280451,280349,280155,279622,279059,277253
261423,260677,260033,259385,259363,259405,259204,258548,257614
135952,135612,135143,134853,134863,134909,134878,134803,134489
221770,221205,220573,220056,219819,219646,219188,218287,216273
201808,201327,200845,200259,199759,199250,198187,197229,195864
212346,211713,210948,210080,209448,208772,207471,205999,202996
182814,182547,182249,181807,181550,180924,178539,175744,173062
173873,173408,173072,172524,172114,171409,168172,164762,161503
278204,277651,276809,275203,273033,270759,266657,263528,260041
122315,122114,121914,121730,121658,121367,120621,119439,118073
158226,158012,157755,157525,157472,157346,156668,155844,155106
161414,161042,160718,160397,160196,159839,158896,157884,156142
148994,148545,148029,147233,146750,146395,145363,143818,141311
150994,150670,150337,149986,149871,149753,149177,147857,146360
170819,170561,170281,169981,169815,169511,168737,167579,166232
269044,268575,268086,267317,266906,266229,263682,260408,257037
290036,289200,288756,288320,288301,288226,287412,285737,282137
213870,213098,212531,211756,211679,211436,210477,209029,207172
251997,251322,250661,250001,249940,249898,249354,247884,245149
141680,141581,141446,141273,141240,141242,141113,140535,137620
525030,523150,520919,518372,518119,517984,517318,515726,512077
382487,381239,380199,379146,378973,378779,378091,376812,374156
341283,340084,338897,337743,337771,337720,336960,335658,332693
322450,321626,320598,319690,319515,319508,319264,318785,316717
569141,568673,568189,567539,567426,567474,567047,565621,562300
2224,2224,2224,2224,2224,2224,2224,2224,2224
499366,498675,498067,497123,496815,496569,495942,494717,491920
172946,172678,172370,171965,171836,171561,170493,168741,166197
288232,287870,287387,286934,286787,286236,284466,282340,279771
320992,320121,319072,317770,317398,317044,316461,315773,314332
393684,392332,391206,390276,390287,390353,389796,388248,383134
377921,377252,376826,376370,376331,376291,375978,375170,373076
284384,281969,280187,279137,278971,279045,278979,278814,277628
188805,187245,185871,185136,185116,184898,184770,184408,183432
544880,541089,538497,536951,536853,536662,536226,535611,533006
234179,231573,229240,228228,228308,228513,228367,228270,227373
219472,217554,215937,214883,214757,214701,214541,214322,213325
255374,252908,251293,250498,250713,250851,250666,250414,249055
290963,289020,287756,286964,286960,286990,286888,286157,284489
224190,222263,221052,220347,220435,220584,220571,220295,219194
235124,233733,232638,232098,232204,232333,232043,231394,229911
324706,321130,318962,318057,317974,317911,317881,317569,315654
147964,147180,146852,146668,146779,146871,146817,146519,143546
489444,487486,486609,485712,486117,486378,486038,484973,479799
178321,177332,176795,176408,176454,176447,176325,175981,173969
272984,271820,271170,270627,270778,270938,270859,270160,265897
321343,320273,319653,319207,319347,319444,319130,317888,313112
244161,242241,240895,240115,240083,240139,239916,239520,238908
309355,306418,304904,304063,303897,303572,303089,302571,301403
262807,260669,259378,258613,258472,258224,257655,257385,256550
577319,574040,571835,570502,570245,570240,569833,569172,567352
298535,297611,296237,294659,294650,294885,294686,294599,293768
206590,205736,204802,203736,203506,203503,203394,203113,202414
149910,149476,148739,147885,147608,147346,146869,146562,145567
275288,274041,272773,271478,271392,271253,271008,270360,268285
1134526,1129745,1124846,1118922,1116875,1115804,1112980,1108431,1095729
369832,368827,367748,366475,365938,365694,364858,363679,360668
320365,318735,316507,314068,313367,313292,312719,311651,308351
326652,324937,322888,320660,320062,319880,319127,317683,312966
215125,214410,213637,212776,212562,212418,212041,211351,209668
283858,282342,280967,279508,278990,278788,278248,277194,273692
262182,261060,259885,258566,257883,257358,256496,254965,250860
534251,530008,525992,523077,522880,522877,522649,522431,520976
209754,208442,207248,206093,205903,205803,205738,205545,204835
436444,433379,429934,427126,426911,426936,426790,426544,425116
783651,779127,775025,771717,771906,772049,771732,770715,767567
345521,343096,340800,339077,338858,338821,338704,338338,337288
200560,199430,198269,197416,197395,197544,197463,196825,195619
9598,9546,9509,9473,9452,9420,9354,9307,9150
212301,211734,211148,210342,209677,208758,205698,202154,197116
394745,393871,393180,392225,391630,390836,387962,382738,377044
247766,247196,246447,245435,244891,244095,240973,236878,232789
328885,328285,327518,326475,325933,325392,323188,319465,313938
331614,331040,330584,329822,329339,328422,325215,320425,315733
269225,268772,268477,268039,267843,267550,266056,263790,261143
385948,385211,384652,383756,383174,382336,379013,373942,367484
340492,339328,338412,337338,336798,336331,334275,330757,325132
332722,331937,331365,330298,329744,328558,324535,319286,313425
287326,286803,286405,285537,285085,284366,281846,278291,273511
279981,279266,278897,278217,277864,277161,274457,270940,267239
184405,183755,183464,183005,182867,182707,181537,179760,177728
267826,267192,266757,266278,265925,265195,262707,259056,254983
250399,249856,249363,248679,248370,247649,245592,242508,239181
258772,257985,257000,255517,254724,253331,248890,244777,240742
305844,304904,304196,303258,302855,302226,300063,296283,291551
270585,269794,269243,268525,268073,267663,265793,262362,257584
241742,241214,240835,240341,240154,239790,237934,235518,232709
155597,155238,155060,154774,154621,154430,153621,152342,150860
176917,176397,176132,175702,175384,174860,173510,171875,169990
325099,324309,323774,323160,322870,322364,319572,315874,311245
305163,304679,304346,303814,303496,302948,300460,296747,291826
206081,205596,205284,204760,204369,203845,202059,199335,196545
352032,351123,350291,349217,348273,347054,343138,337565,330159
304135,303228,302286,301042,299891,298723,294494,289179,283139
197323,196892,196650,196365,196238,196065,194830,192864,191467
318097,317423,317065,316598,316286,315690,313161,309453,304505
205897,205517,205143,204640,204390,203905,202183,199498,196360
323634,322703,321808,320663,320012,319045,315524,310558,304928
276216,275538,274930,274068,273375,272109,268830,265031,260538
328755,327987,327469,326767,326560,326038,323317,319687,316147
260588,259953,259448,259000,258838,258636,257277,255261,253080
542877,541897,540817,539715,539182,538192,535403,531081,525785
652562,651771,650877,649718,649516,649126,647479,644816,639547
498233,496711,495507,494245,494248,494129,493359,491567,486216
799110,794874,791172,788297,788161,787757,786363,784531,780229
800562,799673,798596,797350,796823,796386,795150,793920,791675
556646,556074,555626,554512,553880,552900,549082,544448,537928
1486098,1483676,1481688,1478425,1475982,1471571,1456069,1435866,1412955
636099,635129,633901,632416,631828,631255,629888,628046,624703
1380434,1377908,1375382,1372628,1372116,1371321,1367902,1360779,1348374
1187020,1184827,1182713,1180094,1178829,1176704,1169794,1157475,1142866
1579571,1577039,1572991,1565724,1559796,1552133,1535694,1522603,1506854
1207270,1199944,1195918,1192487,1191451,1190553,1188200,1185249,1176595
702788,699466,696438,692999,692670,692184,691055,689325,685832
759176,756760,753928,750120,748204,746468,744335,742699,740265
906435,905069,903748,902013,901298,900405,898042,894100,886899
751368,749778,747695,745397,744720,743856,741790,738404,730569
615984,614187,611782,609557,609606,609373,608670,607223,603107
822621,818249,815193,812767,812287,811705,809830,807731,803104
690198,688889,687485,686357,686122,685575,683347,679654,673346
561624,560992,560161,558984,558610,558152,556948,554928,551985
876049,871435,866541,861803,860756,859961,858043,855637,849733
760456,759545,758781,757928,757429,756738,754679,751610,745495
1193631,1191396,1189063,1186478,1185385,1183459,1177306,1167093,1154076
576079,574133,572403,570347,569853,569456,568024,566303,562842
