lad19cd,LTLA18NM,UTLA18CD,UTLA18NM,FID,GlobalID
E06000001,Hartlepool,E06000001,Hartlepool,1,433c4f29-260b-44e1-991c-e034026c5d6b
E06000002,Middlesbrough,E06000002,Middlesbrough,2,1c3665d9-f4a8-4d09-8bd6-ad77c192070b
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,3,5e0f22c4-578a-4a6f-8f45-699d1f1804c4
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,4,0c631909-e74d-4c3c-af8f-4d7f5df34c9a
E06000005,Darlington,E06000005,Darlington,5,e9997e02-7408-4058-9987-f411668d499f
E06000006,Halton,E06000006,Halton,6,3039813d-f4a1-472d-918a-8d73420a13f5
E06000007,Warrington,E06000007,Warrington,7,d0f83e69-28f2-4862-9866-9306779bf432
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,8,345a8fd7-2d29-43d3-a672-1d063e7d13f0
E06000009,Blackpool,E06000009,Blackpool,9,a4fe04c4-c2a6-48e6-9bca-d1c7bb2d66a2
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",10,2c7f28b0-375c-4755-9e73-8263205837b4
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,11,448e4e03-1a64-4773-b9a6-44bf7c4d1c25
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,12,cd2591d1-1fe6-4205-9f03-efeb4f186bcc
E06000013,North Lincolnshire,E06000013,North Lincolnshire,13,afeb38ce-25b1-4083-b6b8-3788ef237a50
E06000014,York,E06000014,York,14,f52b1d14-3c93-4789-8442-9eda89325666
E06000015,Derby,E06000015,Derby,15,6a6b4bf0-629f-4919-8a50-69987630c4cc
E06000016,Leicester,E06000016,Leicester,16,1a2cfeb8-9647-45b3-874b-f937bb047be1
E06000017,Rutland,E06000017,Rutland,17,a738cc14-ac93-4d53-a170-a7e6e2d6c36c
E06000018,Nottingham,E06000018,Nottingham,18,75586912-cd50-449d-9456-d04a2b6b6fad
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",19,b32c676f-9e69-4a4a-adf0-5e8c7645b785
E06000020,Telford and Wrekin,E06000020,Telford and Wrekin,20,9540aa36-c3f0-4d70-8a15-1ee8ef8f1349
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,21,237d15aa-3158-4047-a0cf-df327baa0109
E06000022,Bath and North East Somerset,E06000022,Bath and North East Somerset,22,667ef464-b3be-4c68-8335-f857204b18b6
E06000023,"Bristol, City of",E06000023,"Bristol, City of",23,24956dbb-7434-4361-ae56-d587b201f355
E06000024,North Somerset,E06000024,North Somerset,24,5f8a54b3-26cb-462e-9425-16c240b5cbec
E06000025,South Gloucestershire,E06000025,South Gloucestershire,25,2edba386-3d03-42c8-b21e-89e0313b37bf
E06000026,Plymouth,E06000026,Plymouth,26,69f1c822-dd65-4e3d-8ead-c41c9edb71e3
E06000027,Torbay,E06000027,Torbay,27,fb521bcb-0753-4431-9fc3-347faabd3064
E06000028,Bournemouth,E06000028,Bournemouth,28,b16950ce-676a-4c35-bc03-26217c6387e2
E06000029,Poole,E06000029,Poole,29,699081ea-7caa-4378-8abf-972d647269ce
E06000030,Swindon,E06000030,Swindon,30,38d09a2f-4430-4ed3-87d7-fa07b4c2fd8a
E06000031,Peterborough,E06000031,Peterborough,31,a4e445d8-8ae7-4c90-b9f5-ab417742903c
E06000032,Luton,E06000032,Luton,32,98f4ed07-c030-41dd-8856-bcf1fcabd348
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,33,275fa59f-d40d-4325-850a-d9ca875476c8
E06000034,Thurrock,E06000034,Thurrock,34,90bbe639-40da-400d-be19-59c2697fa3b2
E06000035,Medway,E06000035,Medway,35,ede403e9-7e73-4645-b352-321e4c2c2dcc
E06000036,Bracknell Forest,E06000036,Bracknell Forest,36,5ef4a794-1dfa-438d-880a-745a1622dc89
E06000037,West Berkshire,E06000037,West Berkshire,37,cad55b54-9a58-4b44-bc88-0f65b39953ba
E06000038,Reading,E06000038,Reading,38,5ced7619-c613-43cd-b869-826ae37cc02e
E06000039,Slough,E06000039,Slough,39,5872ceb9-75a4-48f5-ad93-86bf1e7dfaea
E06000040,Windsor and Maidenhead,E06000040,Windsor and Maidenhead,40,b08d30c0-aa25-4519-869a-9f3cd7c3e41e
E06000041,Wokingham,E06000041,Wokingham,41,ad964449-ca23-48ad-b2bd-ec558f3c1a95
E06000042,Milton Keynes,E06000042,Milton Keynes,42,100ea1e1-eaeb-493f-b2d0-2337cae909fb
E06000043,Brighton and Hove,E06000043,Brighton and Hove,43,a6c8d887-9cf6-487d-b91f-4b73604b2fdd
E06000044,Portsmouth,E06000044,Portsmouth,44,044914bd-923f-42c3-b8c9-fb9a2632e09f
E06000045,Southampton,E06000045,Southampton,45,176f9a52-0308-4c82-8995-fb6edb533340
E06000046,Isle of Wight,E06000046,Isle of Wight,46,3bc6238f-dddc-4924-9810-19ab26b4328a
E06000047,County Durham,E06000047,County Durham,47,cb15ad10-32d5-4837-823c-0d38030926f4
E06000049,Cheshire East,E06000049,Cheshire East,48,41ca5173-de5a-4ff9-90b6-8995cd881570
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,49,bec3958c-d24e-4761-9b5e-ed1ff885f9ef
E06000051,Shropshire,E06000051,Shropshire,50,2b1a2035-e5fa-4e23-801d-2cc9a5efbd82
E06000052,Cornwall,E06000052,Cornwall,51,ea04dfe9-d650-4559-9357-89b1c9480fa3
E06000053,Isles of Scilly,E06000053,Isles of Scilly,52,a2cdb953-557f-4cf5-bba2-bafe613e3e76
E06000054,Wiltshire,E06000054,Wiltshire,53,b559e5f1-68cf-461d-8997-24997372a7b1
E06000055,Bedford,E06000055,Bedford,54,c00d0af5-38e7-485c-943b-c27291d41408
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,55,9ab3ef6e-53af-45d4-934a-b12f9258f5aa
E06000057,Northumberland,E06000057,Northumberland,56,4e008631-d988-4e9d-9ab8-2fae77c46775
E07000004,Aylesbury Vale,E10000002,Buckinghamshire,57,6a40ddd4-dfff-4673-88f0-dbc1fddf39a8
E07000005,Chiltern,E10000002,Buckinghamshire,58,464201c8-ee09-4ee7-aa1d-e4bc4d652b92
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,59,d3ce5cf6-7bd0-4f95-81e9-1e43ad9899e6
E07000147,North Norfolk,E10000020,Norfolk,60,7bb88a0f-14b2-4fc9-b91f-48ae51fc85dc
E07000148,Norwich,E10000020,Norfolk,61,b3982154-82cb-495c-a07a-0dfc38af8c82
E07000149,South Norfolk,E10000020,Norfolk,62,e503293e-2b04-439e-a244-b895ea329567
E07000150,Corby,E10000021,Northamptonshire,63,edbdde14-0031-40ab-9182-c9e2c3919ace
E07000151,Daventry,E10000021,Northamptonshire,64,898f85cf-6e85-4995-a312-03e1436ae311
E07000152,East Northamptonshire,E10000021,Northamptonshire,65,ae9c69ce-0da5-4330-9800-d40b1e657ca5
E07000153,Kettering,E10000021,Northamptonshire,66,79544998-0c2b-4e8c-b0a2-d3ab0024dd56
E07000154,Northampton,E10000021,Northamptonshire,67,39e2ddc3-cb1d-40f7-bfb2-98c205cce420
E07000155,South Northamptonshire,E10000021,Northamptonshire,68,322b2985-c39f-423d-a3bc-1759099084dc
E07000156,Wellingborough,E10000021,Northamptonshire,69,55a80815-532d-4f17-9c70-6d8ef9a422ce
E07000163,Craven,E10000023,North Yorkshire,70,f1fe6c02-a670-4cc3-8c45-1d7e319fcfda
E07000164,Hambleton,E10000023,North Yorkshire,71,a076f270-c29c-4851-9298-bb2411baf339
E07000165,Harrogate,E10000023,North Yorkshire,72,48aea423-8a69-47e0-8f85-7603d5f0a4ae
E07000166,Richmondshire,E10000023,North Yorkshire,73,b780a82a-5120-4385-aea9-7c7fa4dc0332
E07000167,Ryedale,E10000023,North Yorkshire,74,dbfd3115-2960-4b81-81d7-5cfc12dad505
E07000168,Scarborough,E10000023,North Yorkshire,75,e64c66c8-a9c0-445f-8d60-e560c5afe197
E07000169,Selby,E10000023,North Yorkshire,76,e36b7f00-7e2a-4202-9f94-2535008f6066
E07000170,Ashfield,E10000024,Nottinghamshire,77,6f21f574-eee6-4302-a9f2-4a276a901863
E07000171,Bassetlaw,E10000024,Nottinghamshire,78,4b70dc36-2abb-4918-9516-d9ac6cb41ca2
E07000172,Broxtowe,E10000024,Nottinghamshire,79,1f79660a-a73a-45f5-a3e6-b27316fb49b1
E07000173,Gedling,E10000024,Nottinghamshire,80,622fc58e-ad7b-46a1-aa56-a3b233390f33
E07000174,Mansfield,E10000024,Nottinghamshire,81,533cb2bb-cbc5-4326-b1e6-ac7d405ca683
E07000175,Newark and Sherwood,E10000024,Nottinghamshire,82,4034dfc2-db04-436d-8982-cb7aee36b830
E07000176,Rushcliffe,E10000024,Nottinghamshire,83,b2db3452-4952-4359-8cf2-329b9fa87857
E07000177,Cherwell,E10000025,Oxfordshire,84,f91cfcb0-6532-4d1f-950f-4231108e642f
E07000178,Oxford,E10000025,Oxfordshire,85,0adca28b-0a46-42c6-8ac3-92ad9e73d555
E07000179,South Oxfordshire,E10000025,Oxfordshire,86,16c70a77-a5fd-417c-bca3-3b30880f9f54
E07000180,Vale of White Horse,E10000025,Oxfordshire,87,edd59bd3-8092-402c-b2c0-8f59cdd2be97
E07000181,West Oxfordshire,E10000025,Oxfordshire,88,731fd188-20e4-45de-9b60-1898ca1640bb
E07000187,Mendip,E10000027,Somerset,89,29e11577-b889-4bef-9f95-dd47ee65a78e
E07000188,Sedgemoor,E10000027,Somerset,90,8e1b9e35-5c63-4230-9dfe-9ef8798b0121
E07000189,South Somerset,E10000027,Somerset,91,b1031b74-c09b-4172-83e3-d4f1479b33cc
E07000190,Taunton Deane,E10000027,Somerset,92,4c5e99ce-25d7-4926-bc03-aec7b018d711
E07000191,West Somerset,E10000027,Somerset,93,9b8d8abe-36ee-4952-b70b-701869438d5c
E07000192,Cannock Chase,E10000028,Staffordshire,94,83b49778-665c-4bee-ad17-000853280af0
E07000193,East Staffordshire,E10000028,Staffordshire,95,75127c8c-6810-48ba-a76f-d0e272934b70
E07000194,Lichfield,E10000028,Staffordshire,96,cce00d01-2d9c-4f30-88c1-4c6bd9055fd6
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,97,193c502f-6445-4536-a79c-c3efa276cd30
E07000196,South Staffordshire,E10000028,Staffordshire,98,f76533f3-ef20-4b81-8274-c38a43af56ef
E07000197,Stafford,E10000028,Staffordshire,99,5f5e3196-5649-4539-992d-0255c3c13965
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,100,387bc678-9f18-4476-93c9-b3b4e4fd92f4
E07000199,Tamworth,E10000028,Staffordshire,101,653cd1b9-b6e7-4fc3-b4c2-d4e1f1900d87
E07000200,Babergh,E10000029,Suffolk,102,6aab33ce-8c72-4aad-a60c-dbe6bf56b4f2
E07000201,Forest Heath,E10000029,Suffolk,103,6d36ebfa-73da-4b10-8d6b-3c382f2a1477
E07000202,Ipswich,E10000029,Suffolk,104,ac903e91-e36b-47a2-96b9-efd1d2e835cf
E07000203,Mid Suffolk,E10000029,Suffolk,105,66b68aec-c994-4e22-88f6-cce24209ba23
E07000204,St Edmundsbury,E10000029,Suffolk,106,752f1bb2-91c3-4036-8e62-dbb5d4abf029
E07000205,Suffolk Coastal,E10000029,Suffolk,107,af37e0ce-2380-4247-a227-d4a17fe8290c
E07000206,Waveney,E10000029,Suffolk,108,8b77e7b7-854d-4545-bd77-67e8fd109926
E07000207,Elmbridge,E10000030,Surrey,109,eda65204-1047-4311-be2e-d7fb38ab9d85
E07000208,Epsom and Ewell,E10000030,Surrey,110,933dafc7-bb33-437f-9716-1899fb802683
