UTLA19CD,population
E06000001,93663
E06000002,140980
E06000003,137150
E06000004,197348
E06000005,106803
E06000006,129410
E06000007,210014
E06000008,149696
E06000009,139446
E06000010,259778
E06000011,341173
E06000012,159563
E06000013,172292
E06000014,210618
E06000015,257302
E06000016,354224
E06000017,39927
E06000018,332900
E06000019,192801
E06000020,179854
E06000021,256375
E06000022,193282
E06000023,463377
E06000024,215052
E06000025,285093
E06000026,262100
E06000027,136264
E06000030,222193
E06000031,202259
E06000032,213052
E06000033,183125
E06000034,174341
E06000035,278556
E06000036,122549
E06000037,158450
E06000038,161780
E06000039,149539
E06000040,151422
E06000041,171119
E06000042,269457
E06000043,290885
E06000044,214905
E06000045,252520
E06000046,141771
E06000047,530094
E06000049,384152
E06000050,343071
E06000051,323136
E06000052,569578
E06000053,2224
E06000054,500024
E06000055,173292
E06000056,288648
E06000057,322434
E06000058,395331
E06000059,378508
E08000001,287550
E08000002,190990
E08000003,552858
E08000004,237110
E08000005,222412
E08000006,258834
E08000007,293423
E08000008,226493
E08000009,237354
E08000010,328662
E08000011,150862
E08000012,498042
E08000013,180585
E08000014,276410
E08000015,324011
E08000016,246866
E08000017,311890
E08000018,265411
E08000019,584853
E08000021,302820
E08000022,207913
E08000023,150976
E08000024,277705
E08000025,1141816
E08000026,371521
E08000027,321596
E08000028,328450
E08000029,216374
E08000030,285478
E08000031,263357
E08000032,539776
E08000033,211455
E08000034,439787
E08000035,793139
E08000036,348312
E08000037,202055
E09000001,9721
E09000002,212906
E09000003,395869
E09000004,248287
E09000005,329771
E09000006,332336
E09000007,270029
E09000008,386710
E09000009,341806
E09000010,333794
E09000011,287942
E09000012,281120
E09000013,185143
E09000014,268647
E09000015,251160
E09000016,259552
E09000017,306870
E09000018,271523
E09000019,242467
E09000020,156129
E09000021,177507
E09000022,326034
E09000023,305842
E09000024,206548
E09000025,353134
E09000026,305222
E09000027,198019
E09000028,318830
E09000029,206349
E09000030,324745
E09000031,276983
E09000032,329677
E09000033,261317
E10000002,543973
E10000003,653537
E10000006,500012
E10000007,802694
E10000008,802375
E10000011,557229
E10000012,1489189
E10000013,637070
E10000014,1382542
E10000015,1189519
E10000016,1581555
E10000017,1219799
E10000018,706155
E10000019,761224
E10000020,907760
E10000021,753278
E10000023,618054
E10000024,828224
E10000025,691667
E10000027,562225
E10000028,879560
E10000029,761350
E10000030,1196236
E10000031,577933
E10000032,863980
E10000034,595786
